bout_id,contact_type,rat_a_slot,rat_b_slot,investigator_slot,start_frame,end_frame,start_time_sec,end_time_sec,duration_sec,duration_frames,total_frames,mean_nose_dist_px,mean_mask_iou,mean_velocity_a_px,mean_velocity_b_px,quality_flags
1,N2B,0,1,0,1,8,0.0333,0.2667,0.2334,8,8,138.2,0.0,6.8,9.4,
2,N2AG,0,1,1,12,15,0.4,0.5,0.1,4,4,283.0,0.0,10.3,10.4,
3,N2N,0,1,,205,206,6.8333,6.8667,0.0334,2,2,71.2,0.0,8.4,2.2,
4,N2B,0,1,0,207,210,6.9,7.0,0.1,3,4,97.2,0.0,3.6,1.4,
7,N2B,0,1,0,408,419,13.6,13.9667,0.3667,12,12,149.8,0.0,11.1,3.2,
8,N2AG,0,1,1,420,425,14.0,14.1667,0.1667,5,6,266.8,0.0,12.1,4.2,
9,N2B,0,1,0,561,562,18.7,18.7333,0.0333,2,2,85.0,0.0,15.9,3.3,
10,N2B,0,1,0,572,577,19.0667,19.2333,0.1666,6,6,162.1,0.0,9.2,4.2,
12,N2N,0,1,,770,771,25.6667,25.7,0.0333,2,2,51.2,0.0,8.9,2.9,
14,N2AG,0,1,0,792,795,26.4,26.5,0.1,3,4,306.1,0.0,12.7,2.3,
0,N2B,0,1,1,1231,1240,41.0333,41.3333,0.3,9,10,123.3,0.0,7.3,11.4,
1,N2B,0,1,0,1418,1420,47.2667,47.3333,0.0666,3,3,85.8,0.0,11.7,0.4,
2,N2N,0,1,,1421,1429,47.3667,47.6333,0.2666,8,9,45.5,0.0,4.8,1.5,
6,N2N,0,1,,1782,1799,59.4,59.9667,0.5667,18,18,47.1,0.0,1.0,2.0,
0,N2N,0,1,,1800,1813,60.0,60.4333,0.4333,13,14,52.8,0.0,0.7,1.9,
3,N2AG,0,1,1,1834,1835,61.1333,61.1667,0.0334,2,2,91.4,0.0,5.2,2.3,
2,N2B,0,1,0,1832,1842,61.0667,61.4,0.3333,9,11,106.2,0.0,10.4,5.1,
4,N2AG,0,1,1,1843,1850,61.4333,61.6667,0.2334,6,8,170.4,0.0,10.6,16.1,
6,N2AG,0,1,1,2056,2060,68.5333,68.6667,0.1334,3,5,335.4,0.0,7.2,15.5,
7,N2B,0,1,0,2210,2212,73.6667,73.7333,0.0666,3,3,103.6,0.0,8.8,6.3,
8,N2AG,0,1,1,2216,2217,73.8667,73.9,0.0333,2,2,247.8,0.0,10.9,4.5,
9,N2B,0,1,1,2367,2368,78.9,78.9333,0.0333,2,2,83.6,0.0,7.2,7.3,
10,N2N,0,1,,2369,2380,78.9667,79.3333,0.3666,10,12,41.3,0.0,6.3,8.5,
11,N2B,0,1,1,2381,2383,79.3667,79.4333,0.0666,3,3,84.9,0.0,8.6,9.2,
15,N2AG,0,1,1,2401,2407,80.0333,80.2333,0.2,7,7,199.6,0.0,9.0,9.8,
16,N2B,0,1,1,2408,2410,80.2667,80.3333,0.0666,2,3,186.1,0.0,4.8,15.2,
17,FOL,0,1,1,2415,2416,80.5,80.5333,0.0333,2,2,198.2,0.0,55.5,33.2,
19,N2AG,0,1,1,2426,2430,80.8667,81.0,0.1333,4,5,183.3,0.0,20.3,8.9,
18,N2B,0,1,1,2423,2427,80.7667,80.9,0.1333,4,5,171.5,0.0,14.7,19.8,
20,N2N,0,1,,2431,2434,81.0333,81.1333,0.1,4,4,0.0,0.0,47.1,15.0,
21,N2AG,0,1,0,2435,2461,81.1667,82.0333,0.8666,27,27,175.6,0.0,7.6,16.0,
23,N2AG,0,1,0,2475,2486,82.5,82.8667,0.3667,11,12,248.9,0.0,9.3,35.4,
24,FOL,0,1,0,2491,2493,83.0333,83.1,0.0667,2,3,222.8,0.0,12.8,16.9,
26,N2B,0,1,0,2495,2500,83.1667,83.3333,0.1666,6,6,164.2,0.0,8.6,14.6,
27,N2N,0,1,,2509,2511,83.6333,83.7,0.0667,3,3,46.1,0.0,21.6,1.6,
29,N2B,0,1,0,2560,2572,85.3333,85.7333,0.4,13,13,153.2,0.0,10.1,13.9,
31,N2AG,0,1,0,2576,2582,85.8667,86.0667,0.2,5,7,240.8,0.0,9.5,10.6,
0,N2B,0,1,0,2737,2739,91.2333,91.3,0.0667,3,3,109.4,0.0,5.0,1.6,
1,N2AG,0,1,0,2740,2800,91.3333,93.3333,2.0,52,61,135.5,0.0,2.6,4.7,
2,N2AG,0,1,0,3009,3015,100.3,100.5,0.2,7,7,245.2,0.0,9.3,3.3,
4,N2B,0,1,0,3020,3027,100.6667,100.9,0.2333,7,8,124.0,0.0,7.9,6.4,
5,N2AG,0,1,0,3031,3039,101.0333,101.3,0.2667,9,9,233.6,0.0,6.4,14.3,
8,N2N,0,1,,3264,3270,108.8,109.0,0.2,6,7,46.5,0.0,8.4,1.9,
10,N2AG,0,1,1,3278,3286,109.2667,109.5333,0.2666,6,9,194.6,0.0,10.5,8.9,
12,N2AG,0,1,0,3344,3345,111.4667,111.5,0.0333,2,2,276.8,0.0,2.0,2.9,
16,N2B,0,1,0,3536,3538,117.8667,117.9333,0.0666,3,3,124.2,0.0,6.0,14.8,
